Plasmid,Plasmid Length,Resistance,Resistance Gene,Resistance Count,TF Protein,TF Gene,TF Gene Simplified,TF Count,DeepTFactor Locus_ID,DeepTF Count
CP027674.1,133421,['None'],['None'],0,"['HTH-type transcriptional regulator PapX', 'Fertility inhibition protein (Conjugal transfer repressor)', 'Replication regulatory protein repA2 (Protein CopB)']","['papX', 'finO', 'repA2 copB repB CP0258']","['papX', 'finO', 'repA2']",3,"['HHDEBAMO_00018', 'HHDEBAMO_00022', 'HHDEBAMO_00051', 'HHDEBAMO_00140']",4
CP027764.1,66945,['None'],['None'],0,['None'],['None'],['None'],0,"['AJIKDBGA_00021', 'AJIKDBGA_00030', 'AJIKDBGA_00045', 'AJIKDBGA_00048']",4
CP027765.1,66389,['None'],['None'],0,"['Replication regulatory protein repA2 (Protein CopB)', 'Fertility inhibition protein (Conjugal transfer repressor)']","['repA2 copB', 'finO']","['repA2', 'finO']",2,['CJGAGBFM_00083'],1
CP041748.1,91399,['None'],['None'],0,"['Fertility inhibition protein (Conjugal transfer repressor)', 'Replication regulatory protein repA2 (Protein CopB)', 'HTH-type transcriptional regulator PapX']","['finO L7001 ECO57PM64', 'repA2 copB L7006 ECO57PM67', 'papX']","['finO', 'repA2', 'papX']",3,"['JNPIHHIA_00024', 'JNPIHHIA_00051', 'JNPIHHIA_00063', 'JNPIHHIA_00072', 'JNPIHHIA_00088']",5
CP042948.1,113165,['None'],['None'],0,"['Biofilm operon icaADBC HTH-type negative transcriptional regulator IcaR (Intercellular adhesion protein R)', 'Replication regulatory protein repA2 (Protein CopB)', 'Transcriptional activator PerA']","['icaR MW2585', 'repA2 copB', 'perA E2348_P1_020']","['icaR', 'repA2', 'perA']",3,"['GEIOCGKJ_00003', 'GEIOCGKJ_00004', 'GEIOCGKJ_00015', 'GEIOCGKJ_00016', 'GEIOCGKJ_00017', 'GEIOCGKJ_00037', 'GEIOCGKJ_00042', 'GEIOCGKJ_00087', 'GEIOCGKJ_00094', 'GEIOCGKJ_00106', 'GEIOCGKJ_00108', 'GEIOCGKJ_00110', 'GEIOCGKJ_00113', 'GEIOCGKJ_00128', 'GEIOCGKJ_00149']",15
CP043012.1,103253,['None'],['None'],0,"['Fertility inhibition protein (Conjugal transfer repressor)', 'Replication regulatory protein repA2 (Protein CopB)']","['finO L7001 ECO57PM64', 'repA2 copB L7006 ECO57PM67']","['finO', 'repA2']",2,"['KJCHIFKG_00040', 'KJCHIFKG_00087', 'KJCHIFKG_00110']",3
CP043013.1,3771,['None'],['None'],0,['None'],['None'],['None'],0,[],0
CP043014.1,49062,['None'],['None'],0,['Transcriptional activatory protein CaiF'],['caiF SF0031 S0033'],['caiF'],1,['HKFOOKAC_00006'],1
CP043016.1,91447,['None'],['None'],0,"['HTH-type transcriptional regulator PapX', 'Fertility inhibition protein (Conjugal transfer repressor)', 'Replication regulatory protein repA2 (Protein CopB)']","['papX', 'finO L7001 ECO57PM64', 'repA2 copB L7006 ECO57PM67']","['papX', 'finO', 'repA2']",3,"['HOKIHCBE_00003', 'HOKIHCBE_00014', 'HOKIHCBE_00038', 'HOKIHCBE_00060']",4
CP043017.1,57383,['None'],['None'],0,['Transcriptional activatory protein CaiF'],['caiF SF0031 S0033'],['caiF'],1,['ACFGOIBO_00051'],1
CP043018.1,53687,['None'],['None'],0,"['Antirepressor protein 1 (ant1) (Repressor bypass protein B) (rebB) [Cleaved into: Antirepressor protein 2 (ant2) (Repressor bypass protein A) (rebA)]', 'Probable regulatory protein N', 'LexA repressor (EC 3.4.21.88)']","['ant reb', 'N 24', 'lexA Sfum_0927']","['ant', 'N', 'lexA']",3,"['OFHPGBHB_00010', 'OFHPGBHB_00034', 'OFHPGBHB_00035', 'OFHPGBHB_00036', 'OFHPGBHB_00044']",5
CP043020.1,91449,['None'],['None'],0,"['HTH-type transcriptional regulator PapX', 'Fertility inhibition protein (Conjugal transfer repressor)', 'Replication regulatory protein repA2 (Protein CopB)']","['papX', 'finO L7001 ECO57PM64', 'repA2 copB L7006 ECO57PM67']","['papX', 'finO', 'repA2']",3,"['OHJCFJOL_00003', 'OHJCFJOL_00014', 'OHJCFJOL_00038', 'OHJCFJOL_00060']",4
CP043021.1,5642,['None'],['None'],0,['None'],['None'],['None'],0,[],0
CP043022.1,5719,['None'],['None'],0,['None'],['None'],['None'],0,['PFIEGCMD_00001'],1
CP043023.1,103547,['None'],['None'],0,"['Fertility inhibition protein (Conjugal transfer repressor)', 'Replication regulatory protein repA2 (Protein CopB)', 'Type 1 fimbriae regulatory protein FimE']","['finO L7001 ECO57PM64', 'repA2 copB L7006 ECO57PM67', 'fimE SF4209 S4466']","['finO', 'repA2', 'fimE']",3,"['PIHKAFDP_00021', 'PIHKAFDP_00083', 'PIHKAFDP_00109']",3
CP043024.1,28810,['None'],['None'],0,"['Ferric uptake regulation protein (Ferric uptake regulator)', 'KDP operon transcriptional regulatory protein KdpE', 'N-acetylglucosamine repressor']","['fur b0683 JW0669', 'kdpE b0694 JW5096', 'nagC SF0617 S0628']","['fur', 'kdpE', 'nagC']",3,['GMNHLFBH_00003'],1
CP044351.1,111626,['None'],['None'],0,"['HTH-type transcriptional regulator Xre (Putative PBSX repressor)', 'LexA repressor (EC 3.4.21.88)', '26 kDa repressor protein (Regulatory protein CI)', 'HTH-type transcriptional regulator DdrOP3', 'Uncharacterized HTH-type transcriptional regulator MJ0272']","['xre BSU12510', 'lexA Maqu_2007', 'CI-HTT', 'ddrOP3 Deide_3p02170', 'MJ0272']","['xre', 'lexA', 'CI-HTT', 'ddrOP3', 'MJ0272']",5,"['AOMCNGEF_00028', 'AOMCNGEF_00047', 'AOMCNGEF_00080', 'AOMCNGEF_00107', 'AOMCNGEF_00127', 'AOMCNGEF_00151', 'AOMCNGEF_00166']",7
CP046677.1,266881,['None'],['None'],0,"['Virulence regulon transcriptional activator VirF', 'Phosphoglycerate transport system transcriptional regulatory protein PgtA', 'Phosphoglycerate transport regulatory protein PgtC', 'HTH-type transcriptional regulator TdcA (Tdc operon transcriptional activator)', 'Virulence regulon transcriptional activator VirB (Cell invasion regulator InvE)', 'Transcriptional regulator MxiE', 'Fertility inhibition protein (Conjugal transfer repressor)', 'Replication regulatory protein repA2 (Protein CopB)']","['virF', 'pgtA STM2396', 'pgtC STM2398', 'tdcA SF3158 S3370', 'virB invE', 'mxiE', 'finO', 'repA2 copB']","['virF', 'pgtA', 'pgtC', 'tdcA', 'virB', 'mxiE', 'finO', 'repA2']",8,"['GIKOFAML_00056', 'GIKOFAML_00063', 'GIKOFAML_00072', 'GIKOFAML_00111', 'GIKOFAML_00115', 'GIKOFAML_00137', 'GIKOFAML_00156', 'GIKOFAML_00173', 'GIKOFAML_00180', 'GIKOFAML_00226', 'GIKOFAML_00233', 'GIKOFAML_00244', 'GIKOFAML_00256', 'GIKOFAML_00282', 'GIKOFAML_00302', 'GIKOFAML_00335', 'GIKOFAML_00374', 'GIKOFAML_00430']",18
CP046678.1,48743,"['SULFONAMIDE', 'STREPTOMYCIN', 'STREPTOMYCIN']","['sul2', ""aph(3'')-Ib"", 'aph(6)-Id']",3,"['Fertility inhibition protein (Conjugal transfer repressor)', 'Replication regulatory protein RepA2 (Protein CopB)', 'Alkaline phosphatase synthesis transcriptional regulatory protein PhoP', 'Virulence regulon transcriptional activator VirB (Cell invasion regulator InvE)']","['finO', 'repA2 copB ECOK12F006', 'phoP BSU29110', 'virB invE']","['finO', 'repA2', 'phoP', 'virB']",4,"['PLNLOOKH_00027', 'PLNLOOKH_00037', 'PLNLOOKH_00048']",3
CP048854.1,123785,['None'],['None'],0,"['F1845 adhesin operon regulatory protein', 'Oxygen regulatory protein NreC (Nitrogen regulation protein C)', 'Virulence regulon transcriptional activator VirF', 'Replication regulatory protein RepA2 (Protein CopB)', 'Fertility inhibition protein (Conjugal transfer repressor)']","['daaA', 'nreC Sca_1888', 'virF', 'repA2 copB ECOK12F006', 'finO']","['daaA', 'nreC', 'virF', 'repA2', 'finO']",5,"['FNDAABBC_00016', 'FNDAABBC_00044', 'FNDAABBC_00046', 'FNDAABBC_00061', 'FNDAABBC_00138']",5
CP048856.1,70474,['None'],['None'],0,"['Fertility inhibition protein (Conjugal transfer repressor)', 'Replication regulatory protein repA2 (Protein CopB)']","['finO', 'repA2 copB']","['finO', 'repA2']",2,"['EJPFNHOL_00033', 'EJPFNHOL_00041']",2
CP048858.1,113820,['None'],['None'],0,"['Replication regulatory protein RepA2 (Protein CopB)', 'Fertility inhibition protein (Conjugal transfer repressor)']","['repA2 copB ECOK12F006', 'finO']","['repA2', 'finO']",2,"['KPPJAELF_00005', 'KPPJAELF_00010', 'KPPJAELF_00036', 'KPPJAELF_00101', 'KPPJAELF_00120', 'KPPJAELF_00126']",6
CP048859.1,5220,['None'],['None'],0,['None'],['None'],['None'],0,[],0
CP048861.1,124388,"['TETRACYCLINE', 'BETA-LACTAM', 'SULFONAMIDE', 'STREPTOMYCIN', 'STREPTOMYCIN', 'TRIMETHOPRIM', 'STREPTOMYCIN', 'SULFONAMIDE']","['tet(B)', 'blaTEM-1', 'sul2', ""aph(3'')-Ib"", 'aph(6)-Id', 'dfrA1', 'aadA1', 'sul1']",8,"['Uncharacterized HTH-type transcriptional regulator RhmR', 'Tetracycline repressor protein class B from transposon Tn10', 'Uncharacterized HTH-type transcriptional regulator YdfF', 'HTH-type transcriptional regulator MerD (Mercuric resistance protein MerD)', 'Mercuric resistance operon regulatory protein', 'Transcriptional repressor protein KorC']","['rhmR yfaX b2248 JW2242', 'tetR', 'ydfF BSU05390', 'merD', 'merR', 'korC']","['rhmR', 'tetR', 'ydfF', 'merD', 'merR', 'korC']",6,"['EKDDKMIA_00009', 'EKDDKMIA_00026', 'EKDDKMIA_00040', 'EKDDKMIA_00043', 'EKDDKMIA_00044', 'EKDDKMIA_00051', 'EKDDKMIA_00053', 'EKDDKMIA_00070', 'EKDDKMIA_00075', 'EKDDKMIA_00082', 'EKDDKMIA_00116', 'EKDDKMIA_00125']",12
CP048862.1,1547,['None'],['None'],0,['None'],['None'],['None'],0,['BOGPAELP_00001'],1
CP048864.1,4594,['None'],['None'],0,['None'],['None'],['None'],0,[],0
CP048866.1,137221,"['STREPTOMYCIN', 'SULFONAMIDE']","['aadA1', 'sul1']",2,"['Virulence regulon transcriptional activator VirF', 'HTH-type transcriptional regulator MerD (Mercuric resistance protein MerD)', 'Fertility inhibition protein (Conjugal transfer repressor)', 'Virulence regulon transcriptional activator VirB (Cell invasion regulator InvE)']","['virF', 'merD', 'finO', 'virB invE']","['virF', 'merD', 'finO', 'virB']",4,"['KOFJGGEB_00005', 'KOFJGGEB_00033', 'KOFJGGEB_00043', 'KOFJGGEB_00045', 'KOFJGGEB_00046', 'KOFJGGEB_00054', 'KOFJGGEB_00064', 'KOFJGGEB_00081', 'KOFJGGEB_00085', 'KOFJGGEB_00090', 'KOFJGGEB_00134', 'KOFJGGEB_00144', 'KOFJGGEB_00163']",13
CP048868.1,179303,"['BETA-LACTAM', 'TRIMETHOPRIM', 'SULFONAMIDE']","['blaTEM-1', 'dfrA7', 'sul1']",3,"['Virulence regulon transcriptional activator VirF', 'HTH-type transcriptional regulator MerD (Mercuric resistance protein MerD)', 'Mercuric resistance operon regulatory protein', 'Replication regulatory protein repA2 (Protein CopB)', 'Fertility inhibition protein (Conjugal transfer repressor)']","['virF', 'merD', 'merR', 'repA2 copB', 'finO']","['virF', 'merD', 'merR', 'repA2', 'finO']",5,"['KFBPMPMA_00005', 'KFBPMPMA_00044', 'KFBPMPMA_00046', 'KFBPMPMA_00047', 'KFBPMPMA_00053', 'KFBPMPMA_00062', 'KFBPMPMA_00076', 'KFBPMPMA_00078', 'KFBPMPMA_00080', 'KFBPMPMA_00091', 'KFBPMPMA_00092', 'KFBPMPMA_00097', 'KFBPMPMA_00102', 'KFBPMPMA_00173', 'KFBPMPMA_00203']",15
CP048869.1,65185,['None'],['None'],0,"['Biofilm operon icaADBC HTH-type negative transcriptional regulator IcaR (Intercellular adhesion protein R)', 'Replication regulatory protein repA2 (Protein CopB)']","['icaR MW2585', 'repA2 copB']","['icaR', 'repA2']",2,"['OIOMFODC_00003', 'OIOMFODC_00005', 'OIOMFODC_00014', 'OIOMFODC_00032', 'OIOMFODC_00045']",5
CP048871.1,120608,['None'],['None'],0,"['Replication regulatory protein RepA2 (Protein CopB)', 'Fertility inhibition protein (Conjugal transfer repressor)']","['repA2 copB ECOK12F006', 'finO']","['repA2', 'finO']",2,"['HDBICPKI_00005', 'HDBICPKI_00014', 'HDBICPKI_00046', 'HDBICPKI_00111', 'HDBICPKI_00134']",5
CP048872.1,5154,['None'],['None'],0,['None'],['None'],['None'],0,[],0
CP048874.1,5164,['None'],['None'],0,['None'],['None'],['None'],0,[],0
CP048936.1,193696,"['BETA-LACTAM', 'TRIMETHOPRIM', 'STREPTOMYCIN', 'SULFONAMIDE', 'MACROLIDE', 'GENTAMICIN', 'TETRACYCLINE']","['blaTEM-1', 'dfrA17', 'aadA5', 'sul1', 'mph(A)', 'aac(3)-IId', 'tet(A)']",7,"['Transcriptional regulator Rv3488', 'Uncharacterized HTH-type transcriptional regulator YfiR', 'Fertility inhibition protein (Conjugal transfer repressor)', 'Replication regulatory protein RepA2 (Protein CopB)']","['Rv3488', 'yfiR BSU08370', 'finO', 'repA2 copB ECOK12F006']","['Rv3488', 'yfiR', 'finO', 'repA2']",4,"['HICJEMAE_00007', 'HICJEMAE_00021', 'HICJEMAE_00076', 'HICJEMAE_00091', 'HICJEMAE_00105', 'HICJEMAE_00127', 'HICJEMAE_00139', 'HICJEMAE_00182', 'HICJEMAE_00189', 'HICJEMAE_00231', 'HICJEMAE_00244']",11
CP049846.1,109479,"['TRIMETHOPRIM', 'STREPTOTHRICIN', 'STREPTOMYCIN', 'SULFONAMIDE']","['dfrA1', 'sat2_gen', 'aadA1', 'sul2']",4,['None'],['None'],['None'],0,"['ICILICBE_00001', 'ICILICBE_00008', 'ICILICBE_00021', 'ICILICBE_00034', 'ICILICBE_00037', 'ICILICBE_00080']",6
CP049847.1,90409,['None'],['None'],0,['Antirepressor protein 1 (ant1) (Repressor bypass protein B) (rebB) [Cleaved into: Antirepressor protein 2 (ant2) (Repressor bypass protein A) (rebA)]'],['ant reb'],['ant'],1,"['GCJOLOHL_00003', 'GCJOLOHL_00004', 'GCJOLOHL_00012', 'GCJOLOHL_00023', 'GCJOLOHL_00092']",5
CP049848.1,68489,['None'],['None'],0,"['Fertility inhibition protein (Conjugal transfer repressor)', 'Replication regulatory protein RepA2 (Protein CopB)']","['finO', 'repA2 copB ECOK12F006']","['finO', 'repA2']",2,"['KNHHKGFH_00029', 'KNHHKGFH_00037']",2
CP049849.1,6337,['None'],['None'],0,['None'],['None'],['None'],0,[],0
CP049850.1,5632,['None'],['None'],0,['None'],['None'],['None'],0,[],0
CP049851.1,5120,['None'],['None'],0,['None'],['None'],['None'],0,[],0
CP051693.1,104840,"['TETRACYCLINE', 'BETA-LACTAM', 'SULFONAMIDE', 'STREPTOMYCIN', 'STREPTOMYCIN']","['tet(B)', 'blaTEM-1', 'sul2', ""aph(3'')-Ib"", 'aph(6)-Id']",5,"['Transcriptional activator AggR (AAF/I regulatory protein)', 'Uncharacterized HTH-type transcriptional regulator YdfF', 'Tetracycline repressor protein class B from transposon Tn10', 'Replication regulatory protein repA2 (Protein CopB)', 'Fertility inhibition protein (Conjugal transfer repressor)']","['aggR', 'ydfF BSU05390', 'tetR', 'repA2 copB', 'finO']","['aggR', 'ydfF', 'tetR', 'repA2', 'finO']",5,"['NKOPAOOM_00018', 'NKOPAOOM_00021', 'NKOPAOOM_00027', 'NKOPAOOM_00033', 'NKOPAOOM_00041', 'NKOPAOOM_00057', 'NKOPAOOM_00064', 'NKOPAOOM_00065', 'NKOPAOOM_00097', 'NKOPAOOM_00098', 'NKOPAOOM_00102', 'NKOPAOOM_00111', 'NKOPAOOM_00144', 'NKOPAOOM_00145']",14
CP051750.1,84297,"['CEPHALOSPORIN', 'TRIMETHOPRIM', 'SULFONAMIDE', 'MACROLIDE', 'GENTAMICIN']","['blaCTX-M-14', 'dfrA5', 'sul1', 'mph(A)', 'aac(3)-IIe']",5,"['Fertility inhibition protein (Conjugal transfer repressor)', 'Replication regulatory protein repA2 (Protein CopB)', 'Tetracycline repressor protein class H', 'Transcriptional regulator Rv3488', 'Uncharacterized HTH-type transcriptional regulator YfiR']","['finO', 'repA2 copB repB CP0258', 'tetR', 'Rv3488', 'yfiR BSU08370']","['finO', 'repA2', 'tetR', 'Rv3488', 'yfiR']",5,"['IPIKBHND_00006', 'IPIKBHND_00023', 'IPIKBHND_00033', 'IPIKBHND_00034', 'IPIKBHND_00041', 'IPIKBHND_00054', 'IPIKBHND_00064', 'IPIKBHND_00069']",8
CP054315.1,79771,['None'],['None'],0,['Replication regulatory protein repA2 (Protein CopB)'],['repA2 copB'],['repA2'],1,"['KKHAFKLA_00010', 'KKHAFKLA_00059', 'KKHAFKLA_00068']",3
CP054316.1,89132,['None'],['None'],0,['Response regulator UvrY'],['uvrY c2327'],['uvrY'],1,"['IBHOIBLM_00001', 'IBHOIBLM_00005', 'IBHOIBLM_00079', 'IBHOIBLM_00093']",4
CP054318.1,112170,['None'],['None'],0,"['Fertility inhibition protein (Conjugal transfer repressor)', 'Replication regulatory protein RepA2 (Protein CopB)']","['finO', 'repA2 copB ECOK12F006']","['finO', 'repA2']",2,"['KHJNKHMK_00012', 'KHJNKHMK_00037', 'KHJNKHMK_00113', 'KHJNKHMK_00143', 'KHJNKHMK_00151']",5
CP054320.1,42441,['None'],['None'],0,['None'],['None'],['None'],0,['NPDHJOKF_00037'],1
CP054321.1,90703,"['BETA-LACTAM', 'STREPTOMYCIN', 'STREPTOMYCIN', 'SULFONAMIDE']","['blaTEM-1', 'aph(6)-Id', ""aph(3'')-Ib"", 'sul2']",4,"['HTH-type transcriptional regulator MerD (Mercuric resistance protein MerD)', 'Mercuric resistance operon regulatory protein']","['merD', 'merR']","['merD', 'merR']",2,"['HHBCPIIA_00008', 'HHBCPIIA_00022', 'HHBCPIIA_00036', 'HHBCPIIA_00042', 'HHBCPIIA_00063', 'HHBCPIIA_00099']",6
CP054322.1,5165,['None'],['None'],0,['None'],['None'],['None'],0,[],0
CP054323.1,4073,['None'],['None'],0,['None'],['None'],['None'],0,[],0
CP054324.1,2114,['None'],['None'],0,['None'],['None'],['None'],0,[],0
CP054329.1,68451,['TETRACYCLINE'],['tet(A)'],1,"['Fertility inhibition protein (Conjugal transfer repressor)', 'Replication regulatory protein repA2 (Protein CopB)', 'Tetracycline repressor protein class A from transposon 1721']","['finO', 'repA2 copB', 'tetR']","['finO', 'repA2', 'tetR']",3,"['EGCGCFOO_00019', 'EGCGCFOO_00047', 'EGCGCFOO_00055', 'EGCGCFOO_00056']",4
CP054330.1,9139,['None'],['None'],0,['None'],['None'],['None'],0,[],0
CP054331.1,5636,['None'],['None'],0,['None'],['None'],['None'],0,[],0
CP054332.1,4092,['None'],['None'],0,['None'],['None'],['None'],0,[],0
CP054333.1,3750,['None'],['None'],0,['None'],['None'],['None'],0,['AMBEAEKG_00002'],1
CP054334.1,1513,['None'],['None'],0,['None'],['None'],['None'],0,['MKNGMGJP_00002'],1
CP054336.1,142874,"['TRIMETHOPRIM', 'STREPTOMYCIN', 'SULFONAMIDE', 'MACROLIDE', 'TETRACYCLINE']","['dfrA17', 'aadA5', 'sul1', 'mph(A)', 'tet(A)']",5,"['HTH-type transcriptional repressor NemR (Bleach-sensing transcription factor) (Redox-regulated transcription factor NemR)', 'Transcriptional regulator Rv3488', 'Uncharacterized HTH-type transcriptional regulator YfiR', 'Tetracycline repressor protein class A from transposon 1721', 'Replication regulatory protein repA2 (Protein CopB)', 'Arginine repressor', 'Replication regulatory protein RepA2 (Protein CopB)', 'Fertility inhibition protein (Conjugal transfer repressor)']","['nemR ydhM b1649 JW5874', 'Rv3488', 'yfiR BSU08370', 'tetR', 'repA2 copB', 'argR VP0324', 'repA2 copB ECOK12F006', 'finO']","['nemR', 'Rv3488', 'yfiR', 'tetR', 'repA2', 'argR', 'repA2', 'finO']",8,"['EBDGOBIJ_00006', 'EBDGOBIJ_00011', 'EBDGOBIJ_00021', 'EBDGOBIJ_00033', 'EBDGOBIJ_00040', 'EBDGOBIJ_00044', 'EBDGOBIJ_00057', 'EBDGOBIJ_00063', 'EBDGOBIJ_00069', 'EBDGOBIJ_00110', 'EBDGOBIJ_00138', 'EBDGOBIJ_00155']",12
CP054337.1,98631,['None'],['None'],0,['Antirepressor protein 1 (ant1) (Repressor bypass protein B) (rebB) [Cleaved into: Antirepressor protein 2 (ant2) (Repressor bypass protein A) (rebA)]'],['ant reb'],['ant'],1,"['EOGBHKHI_00005', 'EOGBHKHI_00016', 'EOGBHKHI_00025', 'EOGBHKHI_00026', 'EOGBHKHI_00028', 'EOGBHKHI_00049', 'EOGBHKHI_00078']",7
CP054338.1,6212,"['STREPTOMYCIN', 'STREPTOMYCIN', 'SULFONAMIDE']","['aph(6)-Id', ""aph(3'')-Ib"", 'sul2']",3,['None'],['None'],['None'],0,['MCKPAAMC_00003'],1
CP054339.1,5167,['None'],['None'],0,['None'],['None'],['None'],0,[],0
CP054340.1,4774,['None'],['None'],0,['None'],['None'],['None'],0,[],0
CP054341.1,2089,['None'],['None'],0,['None'],['None'],['None'],0,[],0
CP054342.1,1553,['None'],['None'],0,['None'],['None'],['None'],0,['MMLBDKED_00001'],1
CP054450.1,160125,['None'],['None'],0,"['Virulence regulon transcriptional activator VirB (Cell invasion regulator InvE)', 'Virulence regulon transcriptional activator VirF', 'Uncharacterized transcriptional regulatory protein YclJ', 'Nitrogen assimilation regulatory protein nac (Nitrogen assimilation control protein)', 'Replication regulatory protein RepA2 (Protein CopB)', 'Fertility inhibition protein (Conjugal transfer repressor)']","['virB invE', 'virF', 'yclJ BSU03750', 'nac', 'repA2 copB ECOK12F006', 'finO']","['virB', 'virF', 'yclJ', 'nac', 'repA2', 'finO']",6,"['PGHHJKCC_00024', 'PGHHJKCC_00032', 'PGHHJKCC_00053', 'PGHHJKCC_00062', 'PGHHJKCC_00107', 'PGHHJKCC_00109', 'PGHHJKCC_00110', 'PGHHJKCC_00117', 'PGHHJKCC_00130', 'PGHHJKCC_00145', 'PGHHJKCC_00162', 'PGHHJKCC_00191', 'PGHHJKCC_00192', 'PGHHJKCC_00193']",14
CP054451.1,6970,['None'],['None'],0,['None'],['None'],['None'],0,[],0
CP054452.1,5065,['None'],['None'],0,['None'],['None'],['None'],0,['EAGNONKF_00001'],1
CP054453.1,1592,['None'],['None'],0,['None'],['None'],['None'],0,['AENFFMGJ_00001'],1
CP054455.1,140766,['None'],['None'],0,"['HTH-type transcriptional regulator MerD (Mercuric resistance protein MerD)', 'Mercuric resistance operon regulatory protein', 'Replication regulatory protein repA2 (Protein CopB)', 'Fertility inhibition protein (Conjugal transfer repressor)']","['merD', 'merR', 'repA2 copB repB CP0258', 'finO L7001 ECO57PM64']","['merD', 'merR', 'repA2', 'finO']",4,"['OBPJJFAM_00011', 'OBPJJFAM_00013', 'OBPJJFAM_00023', 'OBPJJFAM_00025', 'OBPJJFAM_00026', 'OBPJJFAM_00029', 'OBPJJFAM_00067', 'OBPJJFAM_00071', 'OBPJJFAM_00076', 'OBPJJFAM_00115', 'OBPJJFAM_00151']",11
CP054456.1,4083,['None'],['None'],0,['None'],['None'],['None'],0,[],0
CP054458.1,138519,"['TRIMETHOPRIM', 'STREPTOMYCIN', 'SULFONAMIDE', 'MACROLIDE', 'SULFONAMIDE', 'STREPTOMYCIN', 'STREPTOMYCIN', 'TETRACYCLINE', 'CEPHALOSPORIN']","['dfrA17', 'aadA5', 'sul1', 'mph(A)', 'sul2', ""aph(3'')-Ib"", 'aph(6)-Id', 'tet(A)', 'blaCTX-M-27']",9,"['Transcriptional regulator Rv3488', 'Uncharacterized HTH-type transcriptional regulator YfiR', 'Tetracycline repressor protein class A from transposon 1721', 'Replication regulatory protein repA2 (Protein CopB)', 'Arginine repressor', 'Replication regulatory protein RepA2 (Protein CopB)', 'Fertility inhibition protein (Conjugal transfer repressor)']","['Rv3488', 'yfiR BSU08370', 'tetR', 'repA2 copB', 'argR VP0324', 'repA2 copB ECOK12F006', 'finO']","['Rv3488', 'yfiR', 'tetR', 'repA2', 'argR', 'repA2', 'finO']",7,"['JPNFBGKL_00005', 'JPNFBGKL_00014', 'JPNFBGKL_00035', 'JPNFBGKL_00045', 'JPNFBGKL_00068', 'JPNFBGKL_00074', 'JPNFBGKL_00080', 'JPNFBGKL_00114', 'JPNFBGKL_00140']",9
CP054459.1,83056,['None'],['None'],0,['None'],['None'],['None'],0,"['LJEHNLPD_00007', 'LJEHNLPD_00030', 'LJEHNLPD_00045', 'LJEHNLPD_00050', 'LJEHNLPD_00051', 'LJEHNLPD_00053', 'LJEHNLPD_00058']",7
CP054460.1,34915,['None'],['None'],0,['None'],['None'],['None'],0,"['KGKCCOIN_00012', 'KGKCCOIN_00014']",2
CP054461.1,6989,['None'],['None'],0,['None'],['None'],['None'],0,[],0
CP054462.1,3183,['None'],['None'],0,['Uncharacterized HTH-type transcriptional regulator RghRB'],['rghRB yvaO BSU33670'],['rghRB'],1,['KCOLGHCD_00001'],1
CP054463.1,2101,['None'],['None'],0,['None'],['None'],['None'],0,[],0
CP054464.1,1547,['None'],['None'],0,['None'],['None'],['None'],0,['MABNJGCO_00001'],1
CP058232.1,94606,['None'],['None'],0,"['HTH-type transcriptional regulator PapX', 'Fertility inhibition protein (Conjugal transfer repressor)', 'Replication regulatory protein repA2 (Protein CopB)']","['papX', 'finO L7001 ECO57PM64', 'repA2 copB L7006 ECO57PM67']","['papX', 'finO', 'repA2']",3,"['LAFBNHHC_00007', 'LAFBNHHC_00034', 'LAFBNHHC_00049', 'LAFBNHHC_00073']",4
CP058234.1,94601,['None'],['None'],0,"['HTH-type transcriptional regulator PapX', 'Fertility inhibition protein (Conjugal transfer repressor)', 'Replication regulatory protein repA2 (Protein CopB)']","['papX', 'finO L7001 ECO57PM64', 'repA2 copB L7006 ECO57PM67']","['papX', 'finO', 'repA2']",3,"['CFJJFENH_00006', 'CFJJFENH_00033', 'CFJJFENH_00043', 'CFJJFENH_00046', 'CFJJFENH_00070']",5
CP068837.1,51360,"['QUINOLONE', 'CARBAPENEM']","['qnrS1', 'blaOXA-181']",2,['None'],['None'],['None'],0,"['CNJCJFNM_00004', 'CNJCJFNM_00034']",2
